frame,timestamp,crowd_count,avg_magnitude,max_magnitude,direction_variance,confidence_score,stampede_detected,crowd_score,motion_score,chaos_score
2,2025-08-23T09:27:56.118960,18,1.3509423732757568,36.13640594482422,3.3548765182495117,63.34589831034343,No,0.36,0.5403769493103028,1.0
4,2025-08-23T09:27:56.696233,17,1.3184469938278198,25.948062896728516,3.459677219390869,62.24595991770426,No,0.34,0.5273787975311279,1.0
6,2025-08-23T09:27:57.267044,14,1.2485222816467285,33.37863540649414,3.4672293663024902,59.313630421956375,No,0.28,0.4994089126586914,1.0
8,2025-08-23T09:27:57.778188,14,1.1503816843032837,42.85707473754883,3.755127429962158,58.005089124043785,No,0.28,0.46015267372131347,1.0
10,2025-08-23T09:27:58.367066,13,1.0239026546478271,40.12466049194336,3.471463680267334,55.65203539530437,No,0.26,0.4095610618591309,1.0
12,2025-08-23T09:27:58.946509,15,0.9402957558631897,42.203033447265625,3.641481399536133,55.870610078175865,No,0.3,0.3761183023452759,1.0
14,2025-08-23T09:27:59.519937,15,0.9419337511062622,38.969688415527344,3.2881245613098145,55.89245001475016,No,0.3,0.3767735004425049,1.0
16,2025-08-23T09:28:00.101218,15,0.9107062816619873,37.87421798706055,3.376307249069214,55.476083755493164,No,0.3,0.36428251266479494,1.0
18,2025-08-23T09:28:00.694652,15,1.0419421195983887,56.24881362915039,3.6540768146514893,57.225894927978516,No,0.3,0.4167768478393555,1.0
20,2025-08-23T09:28:01.261871,14,0.6725329756736755,53.396366119384766,3.9106664657592773,51.633773008982345,No,0.28,0.26901319026947024,1.0
22,2025-08-23T09:28:01.822080,14,0.6838163733482361,24.380542755126953,3.7240052223205566,51.784218311309814,No,0.28,0.27352654933929443,1.0
24,2025-08-23T09:28:02.401642,14,0.6989358067512512,17.73614501953125,3.633436679840088,51.98581075668335,No,0.28,0.2795743227005005,1.0
26,2025-08-23T09:28:02.981998,13,0.7108752727508545,18.700838088989258,3.366422414779663,51.4783369700114,No,0.26,0.2843501091003418,1.0
28,2025-08-23T09:28:03.600678,13,0.7474702000617981,20.150127410888672,3.3056535720825195,51.9662693341573,No,0.26,0.2989880800247192,1.0
30,2025-08-23T09:28:04.165500,13,0.7818150520324707,23.165237426757812,3.0920400619506836,52.424200693766274,No,0.26,0.3127260208129883,1.0
32,2025-08-23T09:28:04.737363,13,0.8025025129318237,31.23102378845215,2.6647024154663086,52.700033505757645,No,0.26,0.3210010051727295,1.0
34,2025-08-23T09:28:05.303256,15,0.9050667881965637,42.296173095703125,3.05303692817688,55.400890509287514,No,0.3,0.3620267152786255,1.0
36,2025-08-23T09:28:05.857558,15,0.9826052784919739,41.537200927734375,3.176234006881714,56.43473704655965,No,0.3,0.3930421113967896,1.0
38,2025-08-23T09:28:06.393620,12,1.0066825151443481,31.302644729614258,2.977684497833252,54.7557668685913,No,0.24,0.40267300605773926,1.0
40,2025-08-23T09:28:06.983289,11,0.9722957611083984,58.01418685913086,3.974618673324585,53.63061014811198,No,0.22,0.3889183044433594,1.0
42,2025-08-23T09:28:07.560042,14,1.2353925704956055,96.76435852050781,4.178578853607178,59.13856760660807,No,0.28,0.4941570281982422,1.0
44,2025-08-23T09:28:08.150766,13,0.8784639239311218,45.589447021484375,4.893733978271484,53.71285231908162,No,0.26,0.3513855695724487,1.0
46,2025-08-23T09:28:08.745614,14,0.9467456340789795,33.50773239135742,4.234148979187012,55.289941787719734,No,0.28,0.3786982536315918,1.0
48,2025-08-23T09:28:09.328559,15,1.0182242393493652,29.846317291259766,4.039710521697998,56.9096565246582,No,0.3,0.4072896957397461,1.0
50,2025-08-23T09:28:09.898017,15,1.0698890686035156,28.86478614807129,3.7826383113861084,57.598520914713546,No,0.3,0.42795562744140625,1.0
52,2025-08-23T09:28:10.426998,15,1.0898964405059814,33.47877883911133,3.5572142601013184,57.865285873413086,No,0.3,0.4359585762023926,1.0
54,2025-08-23T09:28:10.970990,15,1.0773842334747314,51.48361587524414,3.4606127738952637,57.69845644632975,No,0.3,0.4309536933898926,1.0
56,2025-08-23T09:28:11.497338,15,1.0130045413970947,31.56721305847168,3.3237593173980713,56.84006055196126,No,0.3,0.4052018165588379,1.0
58,2025-08-23T09:28:12.078681,15,0.8862559795379639,27.248584747314453,3.4678430557250977,55.15007972717285,No,0.3,0.35450239181518556,1.0
60,2025-08-23T09:28:12.667900,16,0.764898955821991,17.668710708618164,3.4878756999969482,54.19865274429322,No,0.32,0.3059595823287964,1.0
62,2025-08-23T09:28:13.246228,15,0.776075005531311,27.449399948120117,3.2520604133605957,53.681000073750816,No,0.3,0.3104300022125244,1.0
64,2025-08-23T09:28:13.853831,16,0.8214264512062073,33.929908752441406,3.3762142658233643,54.95235268274943,No,0.32,0.3285705804824829,1.0
66,2025-08-23T09:28:14.449747,16,1.0724244117736816,41.66667556762695,3.1626152992248535,58.29899215698242,No,0.32,0.4289697647094727,1.0
68,2025-08-23T09:28:15.135456,16,0.6750941872596741,18.142789840698242,2.8284196853637695,53.00125583012899,No,0.32,0.27003767490386965,1.0
70,2025-08-23T09:28:15.707370,15,0.727476954460144,14.921360969543457,2.959559679031372,53.03302605946859,No,0.3,0.29099078178405763,1.0
72,2025-08-23T09:28:16.300557,16,0.8355419039726257,17.214649200439453,2.917424440383911,55.14055871963501,No,0.32,0.3342167615890503,1.0
74,2025-08-23T09:28:16.886075,15,0.9373214244842529,84.1639175415039,2.942307710647583,55.8309523264567,No,0.3,0.37492856979370115,1.0
76,2025-08-23T09:28:17.468118,14,0.9045440554618835,41.26325225830078,2.727297782897949,54.72725407282512,No,0.28,0.36181762218475344,1.0
78,2025-08-23T09:28:18.034882,14,0.805641233921051,22.260772705078125,2.651110887527466,53.408549785614014,No,0.28,0.3222564935684204,1.0
80,2025-08-23T09:28:18.613833,13,0.7615948915481567,24.722862243652344,2.133161783218384,52.154598553975426,No,0.26,0.3046379566192627,1.0
82,2025-08-23T09:28:19.196053,12,0.7836759090423584,25.63212013244629,2.021652936935425,51.78234545389812,No,0.24,0.31347036361694336,1.0
84,2025-08-23T09:28:19.794691,13,0.8437424302101135,36.37993621826172,1.9534881114959717,53.24989906946818,No,0.26,0.3374969720840454,1.0
86,2025-08-23T09:28:20.365408,14,0.8226616978645325,24.312049865722656,2.350864887237549,53.63548930486043,No,0.28,0.329064679145813,1.0
88,2025-08-23T09:28:20.956534,13,1.164327621459961,50.925968170166016,2.385566473007202,57.52436828613282,No,0.26,0.4657310485839844,1.0
90,2025-08-23T09:28:21.548250,15,0.8801780939102173,33.88856887817383,2.7388343811035156,55.06904125213623,No,0.3,0.3520712375640869,1.0
92,2025-08-23T09:28:22.076725,14,0.8447413444519043,33.7348518371582,3.2551865577697754,53.929884592692055,No,0.28,0.33789653778076173,1.0
94,2025-08-23T09:28:22.600204,15,0.8873242735862732,34.53175735473633,2.6833958625793457,55.16432364781697,No,0.3,0.3549297094345093,1.0
96,2025-08-23T09:28:23.129048,14,0.9346394538879395,28.495216369628906,2.663358211517334,55.12852605183919,No,0.28,0.3738557815551758,1.0
98,2025-08-23T09:28:23.724629,13,1.0452673435211182,31.696561813354492,2.90878963470459,55.936897913614914,No,0.26,0.4181069374084473,1.0
100,2025-08-23T09:28:24.373254,14,1.1786253452301025,36.24568557739258,3.109001636505127,58.3816712697347,No,0.28,0.471450138092041,1.0
102,2025-08-23T09:28:25.024111,13,1.2787307500839233,32.5701789855957,3.206894874572754,59.04974333445231,No,0.26,0.5114923000335694,1.0
104,2025-08-23T09:28:25.638686,12,1.3106898069381714,39.06254196166992,3.295743465423584,58.809197425842285,No,0.24,0.5242759227752686,1.0
106,2025-08-23T09:28:26.326095,13,1.2937761545181274,31.744348526000977,4.119775295257568,59.25034872690836,No,0.26,0.517510461807251,1.0
108,2025-08-23T09:28:26.923670,14,1.2278780937194824,30.49990463256836,3.9447109699249268,59.03837458292644,No,0.28,0.491151237487793,1.0
110,2025-08-23T09:28:27.533708,15,1.177890658378601,24.839731216430664,3.612882375717163,59.038542111714676,No,0.3,0.47115626335144045,1.0
112,2025-08-23T09:28:28.111874,14,1.5732144117355347,49.03722381591797,3.4284982681274414,63.64285882314046,No,0.28,0.6292857646942138,1.0
114,2025-08-23T09:28:28.638730,12,1.1559689044952393,30.642335891723633,3.320336103439331,56.746252059936516,No,0.24,0.4623875617980957,1.0
116,2025-08-23T09:28:29.164038,13,1.1582000255584717,27.952836990356445,3.1093225479125977,57.44266700744629,No,0.26,0.46328001022338866,1.0
118,2025-08-23T09:28:29.719838,14,1.0965579748153687,29.939048767089844,3.0328235626220703,57.28743966420492,No,0.28,0.43862318992614746,1.0
120,2025-08-23T09:28:30.334405,14,1.1213949918746948,31.364221572875977,3.1092774868011475,57.618599891662605,No,0.28,0.44855799674987795,1.0
122,2025-08-23T09:28:30.908804,16,1.1656737327575684,32.044166564941406,3.148717164993286,59.542316436767585,No,0.32,0.46626949310302734,1.0
124,2025-08-23T09:28:31.508509,16,1.1776846647262573,35.760257720947266,3.344019651412964,59.702462196350105,No,0.32,0.47107386589050293,1.0
126,2025-08-23T09:28:32.099969,15,1.124211311340332,36.32948303222656,3.575883150100708,58.32281748453776,No,0.3,0.44968452453613283,1.0
128,2025-08-23T09:28:32.701709,14,1.1004160642623901,50.11876678466797,3.2507965564727783,57.338880856831864,No,0.28,0.44016642570495607,1.0
130,2025-08-23T09:28:33.291228,14,1.089534878730774,64.36959075927734,2.828900098800659,57.19379838307699,No,0.28,0.43581395149230956,1.0
132,2025-08-23T09:28:33.939526,13,1.082645058631897,52.3934211730957,2.519287347793579,56.4352674484253,No,0.26,0.4330580234527588,1.0
134,2025-08-23T09:28:34.504847,15,1.1066545248031616,48.754024505615234,2.4114809036254883,58.088726997375495,No,0.3,0.44266180992126464,1.0
136,2025-08-23T09:28:35.117159,16,1.4269413948059082,53.85297393798828,2.465402603149414,63.025885264078774,No,0.32,0.5707765579223633,1.0
138,2025-08-23T09:28:35.646751,19,1.0562680959701538,31.820114135742188,2.2324166297912598,60.08357461293539,No,0.38,0.42250723838806153,1.0
140,2025-08-23T09:28:36.177085,15,1.0467745065689087,31.047807693481445,2.6390655040740967,57.29032675425212,No,0.3,0.41870980262756347,1.0
142,2025-08-23T09:28:36.734817,13,1.0048071146011353,54.415409088134766,2.481955051422119,55.39742819468181,No,0.26,0.4019228458404541,1.0
144,2025-08-23T09:28:37.375105,14,0.9897229671478271,41.32823181152344,2.6812222003936768,55.86297289530437,No,0.28,0.3958891868591309,1.0
146,2025-08-23T09:28:38.012916,15,1.0290685892105103,56.13670349121094,2.4299421310424805,57.05424785614014,No,0.3,0.4116274356842041,1.0
148,2025-08-23T09:28:38.597614,12,1.0221210718154907,40.9402961730957,2.221179723739624,54.961614290873214,No,0.24,0.4088484287261963,1.0
150,2025-08-23T09:28:39.233025,14,0.9956605434417725,42.54557418823242,1.8423157930374146,55.94214057922363,No,0.28,0.398264217376709,1.0
152,2025-08-23T09:28:39.842626,15,0.9555754661560059,56.50595474243164,1.908061146736145,56.07433954874674,No,0.3,0.38223018646240237,1.0
154,2025-08-23T09:28:40.422502,14,0.9422029852867126,60.66093063354492,2.437283515930176,55.229373137156166,No,0.28,0.37688119411468507,1.0
156,2025-08-23T09:28:41.015154,14,0.8056488037109375,55.9217643737793,2.5634074211120605,53.408650716145836,No,0.28,0.322259521484375,1.0
158,2025-08-23T09:28:41.610005,14,0.8702127933502197,34.59738540649414,3.05566668510437,54.26950391133626,No,0.28,0.3480851173400879,1.0
160,2025-08-23T09:28:42.236998,14,0.6031913161277771,17.739856719970703,2.3214805126190186,50.70921754837037,No,0.28,0.24127652645111083,1.0
162,2025-08-23T09:28:42.826807,14,0.6165940761566162,47.27096176147461,2.537595510482788,50.887921015421554,No,0.28,0.24663763046264647,1.0
164,2025-08-23T09:28:43.380902,12,0.637347936630249,33.63640213012695,3.0827434062957764,49.83130582173665,No,0.24,0.2549391746520996,1.0
166,2025-08-23T09:28:43.914705,12,0.5970441102981567,32.269229888916016,2.9798898696899414,49.29392147064209,No,0.24,0.2388176441192627,1.0
168,2025-08-23T09:28:44.505917,13,0.575230598449707,22.17335319519043,3.0728068351745605,49.66974131266276,No,0.26,0.23009223937988282,1.0
170,2025-08-23T09:28:45.113856,12,0.556178867816925,23.68317413330078,3.188328981399536,48.749051570892334,No,0.24,0.22247154712677003,1.0
172,2025-08-23T09:28:45.715720,11,0.5991780161857605,28.655689239501953,3.1773154735565186,48.65570688247681,No,0.22,0.2396712064743042,1.0
174,2025-08-23T09:28:46.328616,12,0.6307774186134338,30.566741943359375,3.251129150390625,49.74369891484578,No,0.24,0.2523109674453735,1.0
176,2025-08-23T09:28:46.945016,13,0.663447380065918,40.47706604003906,3.470911741256714,50.84596506754557,No,0.26,0.2653789520263672,1.0
178,2025-08-23T09:28:47.546053,15,0.6754376888275146,63.98373031616211,3.8870277404785156,52.33916918436686,No,0.3,0.27017507553100584,1.0
180,2025-08-23T09:28:48.067884,10,0.7289679050445557,81.71084594726562,4.39815092086792,49.71957206726074,No,0.2,0.29158716201782225,1.0
182,2025-08-23T09:28:48.666895,10,0.8712289929389954,46.43620681762695,4.034550666809082,51.616386572519936,No,0.2,0.34849159717559813,1.0
184,2025-08-23T09:28:49.181758,10,0.5885127782821655,27.46091651916504,3.450157403945923,47.84683704376221,No,0.2,0.2354051113128662,1.0
186,2025-08-23T09:28:49.763766,13,0.5900959372520447,40.02065658569336,3.24452543258667,49.86794583002727,No,0.26,0.23603837490081786,1.0
188,2025-08-23T09:28:50.351643,11,0.49697044491767883,33.656471252441406,3.4448606967926025,47.29293926556905,No,0.22,0.19878817796707154,1.0
190,2025-08-23T09:28:50.956349,11,0.46709969639778137,43.92490005493164,3.4265694618225098,46.894662618637085,No,0.22,0.18683987855911255,1.0
192,2025-08-23T09:28:51.579895,12,0.45438918471336365,25.689790725708008,3.2501015663146973,47.39185579617818,No,0.24,0.18175567388534547,1.0
194,2025-08-23T09:28:52.142523,12,0.48832279443740845,25.44460105895996,3.3099265098571777,47.844303925832115,No,0.24,0.19532911777496337,1.0
196,2025-08-23T09:28:52.706936,13,0.5166246891021729,20.797800064086914,2.989640712738037,48.88832918802897,No,0.26,0.20664987564086915,1.0
198,2025-08-23T09:28:53.231938,13,0.5486775040626526,23.181751251220703,2.9579806327819824,49.3157000541687,No,0.26,0.21947100162506103,1.0
200,2025-08-23T09:28:53.758495,12,0.583313524723053,21.938335418701172,2.6974966526031494,49.11084699630737,No,0.24,0.23332540988922118,1.0
